,ANNO,MES,Stenbacka
0,2012,1,0.3189517997214883
1,2012,2,0.3736178228418685
2,2012,3,0.3815347281956909
3,2012,4,0.43704934775363535
4,2012,5,0.4062114576419275
5,2012,6,0.4536254435713519
6,2012,7,0.4115875337697411
7,2012,8,0.39454610622932385
8,2012,9,0.39203048952325825
9,2012,10,0.38342320433781396
10,2012,11,0.3609248633380598
11,2012,12,0.35256428754512154
12,2013,1,0.367951614102365
13,2013,2,0.3635658444785291
14,2013,3,0.34356386474990686
15,2013,4,0.36419537268389257
16,2013,5,0.3464854294597065
17,2013,6,0.3458884301742377
18,2013,7,0.35160276294380294
19,2013,8,0.33099499329207227
20,2013,9,0.3472103030556325
21,2013,10,0.33021596647654416
22,2013,11,0.3388710583981749
23,2013,12,0.32338517718559084
24,2014,1,0.32326523369042537
25,2014,2,0.3285541321845574
26,2014,3,0.3018340494977988
27,2014,4,0.2646709795813764
28,2014,5,0.2899929984352063
29,2014,6,0.2960540768974902
30,2014,7,0.27086733901742466
31,2014,8,0.28792599358802246
32,2014,9,0.2944496698963909
33,2014,10,0.2545015968085502
34,2014,11,0.2948749666702195
35,2014,12,0.286507221684014
36,2015,1,0.3287314819465594
37,2015,2,0.31667584286440326
38,2015,3,0.33692712743711917
39,2015,4,0.29696267105085206
40,2015,5,0.3438239354522178
41,2015,6,0.3489385116875597
42,2015,7,0.3366592380592234
43,2015,8,0.341304323159929
44,2015,9,0.3285608502675158
45,2015,10,0.3275177930080716
46,2015,11,0.3366353252637214
47,2015,12,0.3351692965848365
48,2016,1,0.33407046447065714
49,2016,2,0.3408497932441588
50,2016,3,0.3420667700655403
51,2016,4,0.3364772943047649
52,2016,5,0.341061206834919
53,2016,6,0.3354387123591378
54,2016,7,0.3331405477635953
55,2016,8,0.34300300557411767
56,2016,9,0.3483913377988602
57,2016,10,0.3514199396321804
58,2016,11,0.34078932126715394
59,2016,12,0.35008375576406536
60,2017,1,0.3590279685525352
61,2017,2,0.34649741863901706
62,2017,3,0.3471551152557146
63,2017,4,0.3575647909460772
64,2017,5,0.3590753501387237
65,2017,6,0.3590266811499474
66,2017,7,0.36081769826062404
67,2017,8,0.3611604069441935
68,2017,9,0.36122430274146455
69,2017,10,0.36079407867950614
70,2017,11,0.3611899711645381
71,2017,12,0.36340667007313154
72,2018,1,0.3643006574986465
73,2018,2,0.3674703719436493
74,2018,3,0.36822895859221116
75,2018,4,0.3700547652736038
76,2018,5,0.3711551069942481
77,2018,6,0.37508796699517183
78,2018,7,0.37661597039098066
79,2018,8,0.379434166761794
80,2018,9,0.38152312091041896
81,2018,10,0.386771676057304
82,2018,11,0.3873523776121123
83,2018,12,0.3825288093460429
84,2019,1,0.38244518707502256
85,2019,2,0.38882696470843214
86,2019,3,0.37541978958677646
87,2019,4,0.38722561677703105
88,2019,5,0.3838398276813084
89,2019,6,0.38071344912272764
90,2019,7,0.3742786138072063
91,2019,8,0.37663528445221206
92,2019,9,0.37774652062419567
93,2019,10,0.37443244248953017
94,2019,11,0.3752670474343455
95,2019,12,0.37033925264845374
96,2020,1,0.37229231337191093
97,2020,2,0.37688350440065976
98,2020,3,0.37849881208206015
99,2020,4,0.37770010100708296
100,2020,5,0.3686440351148995
101,2020,6,0.37270372903083326
102,2020,7,0.3774751031796359
103,2020,8,0.37827102604104523
104,2020,9,0.37656542739769133
105,2020,10,0.37487525454072645
106,2020,11,0.3758702028056655
107,2020,12,0.3729352049493394
108,2021,1,0.3755943305611089
109,2021,2,0.37723287315201437
110,2021,3,0.3756446689210372
111,2021,4,0.3708875574554664
112,2021,5,0.3786049456211964
113,2021,6,0.38119901439893716
114,2021,7,0.3824635124844372
115,2021,8,0.3838169629782742
116,2021,9,0.38153336150376127
117,2021,10,0.3842445433499091
118,2021,11,0.38694938122478895
119,2021,12,0.38369038518419907
120,2022,1,0.38680550552975246
121,2022,2,0.38658936403171396
122,2022,3,0.38872595085048556
123,2022,4,0.3891194942612196
124,2022,5,0.38819601899157213
125,2022,6,0.38751011792976975
126,2022,7,0.3854334720533216
127,2022,8,0.38722748553758
128,2022,9,0.3877778528500417
129,2022,10,0.38858077704214483
130,2022,11,0.3910232189080125
131,2022,12,0.38865275663056975
