ANNO,MES,COLOMBIA_TELECOMUNICACIONES,COLOMBIA_MOVIL,COMUNICACION_CELULAR_COMCEL,EMPRESA_DE_TELECOMUNICACIONES_DE_BOGOTA,UNE_EPM,AVANTEL,ALMACENES_EXITO,VIRGIN_MOBILE,PARTNERS_TELECOM,SETROC_MOBILE,UFF_MOVIL,CELLVOZ_COLOMBIA,LOGISTICA_FLASH,LOV_TELECOMUNICACIONES,SUMA_MOVIL
2012,1,47.88902297841323,0,38.744905339622015,13.36607168196475,0,0,0,0,0,0,0,0,0,0,0
2012,2,55.158955154413704,0,44.84104485,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,39.050407856769084,28.249804174758893,32.69978796847202,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,38.077774778594765,27.81785129385789,32.47327976733324,0.9054201133439743,0,0,0,0,0,0,0.7256740468701306,0,0,0,0
2012,5,38.17850095976086,28.49609900412129,32.660639014966236,0,0,0,0,0,0,0,0.6647610211516142,0,0,0,0
2012,6,37.95613960393491,27.529158078938448,33.73452702578557,0,0,0,0,0,0,0,0.7801752913410808,0,0,0,0
2012,7,36.51672334833055,28.108005023543537,33.77687468561936,0.7087282483812128,0,0,0,0,0,0,0.8896686941253331,0,0,0,0
2012,8,36.61189486710401,25.56823227321299,36.91612324186552,0,0,0,0,0,0,0,0.9037496178174835,0,0,0,0
2012,9,32.29123109181679,27.275119529741293,39.542386260170204,0,0,0,0,0,0,0,0.891263118,0,0,0,0
2012,10,30.77680628857877,27.532307861639143,39.86812746011098,0.70362336,0,0,0,0,0,0,1.1191350301362788,0,0,0,0
2012,11,34.92703374037533,28.638407508125745,35.16986048548268,0,0,0,0,0,0,0,1.2646982660162411,0,0,0,0
2012,12,32.41149839711723,30.55717106467532,35.73413216378897,0,0,0,0,0,0,0,1.297198374418479,0,0,0,0
2013,1,31.022142742819124,28.662433138424525,34.01254316,0.6781390402236678,4.281811276205727,0,0,0,0,0,1.3429306470791593,0,0,0,0
2013,2,31.20670100720156,29.684119718190566,33.763612444920184,0,4.005174909418541,0,0,0,0,0,1.340391920269142,0,0,0,0
2013,3,33.32818746733759,24.975774416551445,36.680136889096765,0,3.6158869208963282,0,0,0,0,0,1.400014306117872,0,0,0,0
2013,4,31.88941990258007,27.66853169725984,35.272514204986685,0.5926766407990806,3.3758386412862156,0,0,0.017226398245041855,0,0,1.1837925148430661,0,0,0,0
2013,5,29.510554456085014,24.266410595281382,38.956956391094835,0,6.6354348916487895,0,0,0.046986689,0,0,0.583656977,0,0,0,0
2013,6,29.838114432086694,22.801021540443838,40.10401452378294,0,6.702306718633075,0,0,0.094761794,0,0,0.45978099153051794,0,0,0,0
2013,7,28.42056885545213,23.90915535143902,40.03012507833256,0.5120163551175924,6.348668988274948,0,0,0.1886794208314605,0,0,0.5907859505522886,0,0,0,0
2013,8,27.255144635560956,23.453001763365393,41.715545227882146,0,6.735413128250927,0,0,0.23652181193160884,0,0,0.604373433,0,0,0,0
2013,9,24.506785605170332,23.05915972958558,44.51558701877069,0,7.101736607499184,0,0,0.2805323482715192,0,0,0.5361986907026939,0,0,0,0
2013,10,24.70560713351718,20.269467569252193,46.74817174850528,0.43157353232824286,6.9966379268664305,0,0,0.35046666091369394,0,0,0.4980754286169811,0,0,0,0
2013,11,25.42588953427955,19.798862825588454,46.13103334853569,0,7.720032827420127,0,0,0.4272894777822404,0,0,0.4968919863939421,0,0,0,0
2013,12,24.876301011817585,20.316044494606174,46.48743910738608,0,7.488807115834109,0,0,0.5049042964012124,0,0,0.326503974,0,0,0,0
2014,1,23.154898922721866,18.900915960735947,45.88632443095231,0.3533272111219123,10.738510443005039,0,0,0.51362226,0,0,0.45240077179017224,0,0,0,0
2014,2,24.058865385589304,18.654089034438613,45.32214107728754,0,11.000648461539152,0,0,0.5290358293610015,0,0,0.43522021178438286,0,0,0,0
2014,3,25.075575933568018,15.891429153356981,47.25899199605865,0,10.767485008070672,0,0,0.5829540102305933,0,0,0.42356389871508904,0,0,0,0
2014,4,24.237276439387955,18.80874851394096,47.30954208627565,0.33586647599697034,8.390781197557057,0,0,0.5963840323487895,0,0,0.3214012544926211,0,0,0,0
2014,5,24.415505817089862,17.293979350323617,44.77752697758399,0,12.52716470748968,0,0,0.6136541691547209,0,0,0.3721689783581253,0,0,0,0
2014,6,23.278149763314453,18.443988673113672,44.46361513883639,0,12.774688964447044,0,0,0.6548320358491462,0,0,0.38472542443929497,0,0,0,0
2014,7,22.936100065189905,19.441638627785327,46.488852785311074,0.25892754312510774,9.722078102285982,0,0,0.7659049153332526,0,0,0.38649796096935174,0,0,0,0
2014,8,24.08541454078483,16.768895856915815,48.71518292740621,0,9.202424636594706,0.000498625,0,0.8476266243334456,0,0,0.3799567893158867,0,0,0,0
2014,9,22.569705193153123,18.25462555463259,45.82967467841014,0,12.141798858009354,0.032101461,0,0.8473399044617083,0,0,0.32475434989709423,0,0,0,0
2014,10,20.077031733530475,17.280988777363742,40.115379773680964,9.281363380381796,12.102426813839417,0.025434694,0,0.8038356336687641,0,0,0.31353919316953216,0,0,0,0
2014,11,21.93099078105589,19.346914550611352,43.962715709900536,0,13.483425252193971,0.048720644,0,0.903156549,0,0,0.32407651331623427,0,0,0,0
2014,12,22.391062219790115,20.330458612275205,43.44981891109597,0,12.355525603791296,0.10419050366847078,0,1.0389807653358285,0,0,0.329963384,0,0,0,0
