,ANNO,MES,Stenbacka
0,2012,1,0.43003022160491355
1,2012,2,0.43513429237584944
2,2012,3,0.46076242141776097
3,2012,4,0.45683022285316904
4,2012,5,0.4573419067912828
5,2012,6,0.45899624498041275
6,2012,7,0.4561597896224686
7,2012,8,0.4559901705854392
8,2012,9,0.45478458225907664
9,2012,10,0.4506057409304152
10,2012,11,0.45042515192765586
11,2012,12,0.443377328980454
12,2013,1,0.436419954733807
13,2013,2,0.4344763957751092
14,2013,3,0.4302952380128271
15,2013,4,0.4304404867827828
16,2013,5,0.42739111291921805
17,2013,6,0.42020234891860986
18,2013,7,0.41742907414801794
19,2013,8,0.4140952129232186
20,2013,9,0.41371934688260265
21,2013,10,0.4143035575787098
22,2013,11,0.41300208192535176
23,2013,12,0.40825304013510555
24,2014,1,0.406837661736703
25,2014,2,0.402661802292002
26,2014,3,0.40418092669857986
27,2014,4,0.4053252365209331
28,2014,5,0.40305457045729576
29,2014,6,0.40297661226840054
30,2014,7,0.40107536401393495
31,2014,8,0.39922200988740586
32,2014,9,0.40420242731537137
33,2014,10,0.403658131009594
34,2014,11,0.4032634647746001
35,2014,12,0.3972047908550309
36,2015,1,0.38745473402450464
37,2015,2,0.3823260521020374
38,2015,3,0.37254003481551023
39,2015,4,0.36677129157271116
40,2015,5,0.3689278917738642
41,2015,6,0.36531798853688957
42,2015,7,0.36383978049752885
43,2015,8,0.36064672752579885
44,2015,9,0.361749265998498
45,2015,10,0.36234070256115813
46,2015,11,0.36189817385823503
47,2015,12,0.3605145829722573
48,2016,1,0.3558804289911347
49,2016,2,0.3614298719732853
50,2016,3,0.35450878110410505
51,2016,4,0.3621423849883799
52,2016,5,0.36483984279483217
53,2016,6,0.3707823252869389
54,2016,7,0.3727637832484878
55,2016,8,0.3682683071912176
56,2016,9,0.36759807204460054
57,2016,10,0.3669511794030855
58,2016,11,0.3675098506878968
59,2016,12,0.36857076850579495
60,2017,1,0.35878817012772657
61,2017,2,0.37393194653368333
62,2017,3,0.3736887605319654
63,2017,4,0.3743237950009424
64,2017,5,0.3736626150095127
65,2017,6,0.372880564000977
66,2017,7,0.37656161971681684
67,2017,8,0.37866880879566345
68,2017,9,0.37905001516814674
69,2017,10,0.38375839696409564
70,2017,11,0.38751282962585165
71,2017,12,0.3874539965019829
72,2018,1,0.37365089947653696
73,2018,2,0.38277410692740643
74,2018,3,0.38108733736204325
75,2018,4,0.38383357631838994
76,2018,5,0.38186716816822724
77,2018,6,0.38151288210906426
78,2018,7,0.3730497360552175
79,2018,8,0.3742424602754189
80,2018,9,0.375529506291411
81,2018,10,0.3751892083559149
82,2018,11,0.37249139914350493
83,2018,12,0.3761938705830851
84,2019,1,0.359750188402961
85,2019,2,0.3632129868271255
86,2019,3,0.34067859229965947
87,2019,4,0.34716539190299717
88,2019,5,0.3473359102156268
89,2019,6,0.34788896865655794
90,2019,7,0.34530446594194797
91,2019,8,0.3442792835050701
92,2019,9,0.343316412212129
93,2019,10,0.34493974228734847
94,2019,11,0.3411698356416677
95,2019,12,0.33350838172995684
96,2020,1,0.32907126941792786
97,2020,2,0.3319078482100394
98,2020,3,0.33002212988089685
99,2020,4,0.32946923587786997
100,2020,5,0.32894597357710964
101,2020,6,0.3294048678784899
102,2020,7,0.3312690441365707
103,2020,8,0.33081457540562675
104,2020,9,0.32064921889868714
105,2020,10,0.32337371778430063
106,2020,11,0.3213118715627539
107,2020,12,0.320530737792306
108,2021,1,0.31698292354515967
109,2021,2,0.32565403106915264
110,2021,3,0.32326317549060535
111,2021,4,0.3267391746720395
112,2021,5,0.32467967009790677
113,2021,6,0.3278438475823673
114,2021,7,0.32510107052876414
115,2021,8,0.3273048566477744
116,2021,9,0.33230904344903933
117,2021,10,0.32971189000274115
118,2021,11,0.3278157487855311
119,2021,12,0.33165711090976163
120,2022,1,0.32616476233099956
121,2022,2,0.3303164863899931
122,2022,3,0.3291417663933872
123,2022,4,0.3323913344217295
124,2022,5,0.33509290675398723
125,2022,6,0.33807632015294736
126,2022,7,0.3367505707848518
127,2022,8,0.33287945829100757
128,2022,9,0.338950709359897
129,2022,10,0.33230792741394405
130,2022,11,0.33567820498202383
131,2022,12,0.3366811213268149
